# section: strategy
name,Alpha AE9 Trend Pullback Continuation 4h
market,KRW-BTC
timeframe,4h
stop_loss_pct,5.0
take_profit_pct,12.0
indicators,"ema20(moving_average, type=EMA, period=20), ema50(moving_average, type=EMA, period=50), adx14(adx, period=14)"

# section: disclaimer
notice,Backtesting results are based on historical data and do not guarantee that the same or similar investment performance will be achieved in the future or in actual trading.

# section: performance
metric,value
period,2025-07-29 ~ 2026-01-29 (UTC)
initial_capital,1000000 KRW
trading_bars,1105
warmup_bars,50
benchmark_pct,-21.9457
total_return_pct,-1.2598
cagr_pct,-2.4835
mdd_pct,-2.1491
sharpe_portfolio,-0.6912
sharpe_trade,-5.3938
trades,6
win_rate_before_fees_pct,33.33
profit_factor_before_fees,0.518025
sl_count,0
tp_count,0
sell_count,6
final_bar_count,0
total_fee,5975.6250

# section: trades
entry_dt,entry_price,exit_dt,exit_price,qty,pnl_pct,pnl_abs,exit_reason
2025-08-15 04:00:00 UTC,165552000.00000000,2025-08-15 08:00:00 UTC,164969000.00000000,0.00603737,-0.3522,-4517.5255,sell
2025-09-15 20:00:00 UTC,160710000.00000000,2025-09-17 20:00:00 UTC,161109000.00000000,0.00619118,+0.2483,1474.0611,sell
2025-09-18 00:00:00 UTC,161468000.00000000,2025-09-19 16:00:00 UTC,162221000.00000000,0.00617124,+0.4663,3648.1625,sell
2025-10-07 20:00:00 UTC,176190000.00000000,2025-10-08 00:00:00 UTC,175490000.00000000,0.00567628,-0.3973,-4971.5131,sell
2025-10-08 04:00:00 UTC,176780000.00000000,2025-10-10 04:00:00 UTC,176534000.00000000,0.00562923,-0.1392,-2379.2335,sell
2025-10-10 12:00:00 UTC,177060000.00000000,2025-10-10 16:00:00 UTC,176193000.00000000,0.00560689,-0.4897,-5851.4990,sell

# section: signals
timestamp,type
2025-08-01 00:00:00 UTC,sell
2025-08-01 04:00:00 UTC,sell
2025-08-01 08:00:00 UTC,sell
2025-08-01 12:00:00 UTC,sell
2025-08-01 16:00:00 UTC,sell
2025-08-01 20:00:00 UTC,sell
2025-08-02 00:00:00 UTC,sell
2025-08-02 04:00:00 UTC,sell
2025-08-02 08:00:00 UTC,sell
2025-08-02 12:00:00 UTC,sell
2025-08-02 16:00:00 UTC,sell
2025-08-02 20:00:00 UTC,sell
2025-08-03 00:00:00 UTC,sell
2025-08-03 04:00:00 UTC,sell
2025-08-03 08:00:00 UTC,sell
2025-08-03 12:00:00 UTC,sell
2025-08-03 16:00:00 UTC,sell
2025-08-03 20:00:00 UTC,sell
2025-08-04 00:00:00 UTC,sell
2025-08-04 08:00:00 UTC,sell
2025-08-04 12:00:00 UTC,sell
2025-08-05 04:00:00 UTC,sell
2025-08-05 08:00:00 UTC,sell
2025-08-05 16:00:00 UTC,sell
2025-08-05 20:00:00 UTC,sell
2025-08-06 00:00:00 UTC,sell
2025-08-06 04:00:00 UTC,sell
2025-08-06 08:00:00 UTC,sell
2025-08-06 12:00:00 UTC,sell
2025-08-07 04:00:00 UTC,sell
2025-08-07 08:00:00 UTC,sell
2025-08-08 16:00:00 UTC,sell
2025-08-09 20:00:00 UTC,sell
2025-08-14 16:00:00 UTC,sell
2025-08-14 20:00:00 UTC,sell
2025-08-15 04:00:00 UTC,buy
2025-08-15 08:00:00 UTC,sell
2025-08-15 16:00:00 UTC,sell
2025-08-15 20:00:00 UTC,sell
2025-08-16 00:00:00 UTC,sell
2025-08-16 04:00:00 UTC,sell
2025-08-16 08:00:00 UTC,sell
2025-08-16 12:00:00 UTC,sell
2025-08-16 16:00:00 UTC,sell
2025-08-16 20:00:00 UTC,sell
2025-08-17 00:00:00 UTC,sell
2025-08-17 04:00:00 UTC,sell
2025-08-17 08:00:00 UTC,sell
2025-08-17 12:00:00 UTC,sell
2025-08-17 16:00:00 UTC,sell
2025-08-17 20:00:00 UTC,sell
2025-08-18 00:00:00 UTC,sell
2025-08-18 04:00:00 UTC,sell
2025-08-18 08:00:00 UTC,sell
2025-08-18 12:00:00 UTC,sell
2025-08-18 16:00:00 UTC,sell
2025-08-18 20:00:00 UTC,sell
2025-08-19 00:00:00 UTC,sell
2025-08-19 04:00:00 UTC,sell
2025-08-19 08:00:00 UTC,sell
2025-08-19 12:00:00 UTC,sell
2025-08-19 16:00:00 UTC,sell
2025-08-19 20:00:00 UTC,sell
2025-08-20 00:00:00 UTC,sell
2025-08-20 04:00:00 UTC,sell
2025-08-20 08:00:00 UTC,sell
2025-08-20 12:00:00 UTC,sell
2025-08-20 16:00:00 UTC,sell
2025-08-20 20:00:00 UTC,sell
2025-08-21 00:00:00 UTC,sell
2025-08-21 04:00:00 UTC,sell
2025-08-21 08:00:00 UTC,sell
2025-08-21 12:00:00 UTC,sell
2025-08-21 16:00:00 UTC,sell
2025-08-21 20:00:00 UTC,sell
2025-08-22 00:00:00 UTC,sell
2025-08-22 04:00:00 UTC,sell
2025-08-22 08:00:00 UTC,sell
2025-08-22 12:00:00 UTC,sell
2025-08-23 04:00:00 UTC,sell
2025-08-23 08:00:00 UTC,sell
2025-08-23 12:00:00 UTC,sell
2025-08-23 16:00:00 UTC,sell
2025-08-23 20:00:00 UTC,sell
2025-08-24 00:00:00 UTC,sell
2025-08-24 08:00:00 UTC,sell
2025-08-24 12:00:00 UTC,sell
2025-08-24 16:00:00 UTC,sell
2025-08-24 20:00:00 UTC,sell
2025-08-25 00:00:00 UTC,sell
2025-08-25 04:00:00 UTC,sell
2025-08-25 08:00:00 UTC,sell
2025-08-25 12:00:00 UTC,sell
2025-08-25 16:00:00 UTC,sell
2025-08-25 20:00:00 UTC,sell
2025-08-26 00:00:00 UTC,sell
2025-08-26 04:00:00 UTC,sell
2025-08-26 08:00:00 UTC,sell
2025-08-26 12:00:00 UTC,sell
2025-08-26 16:00:00 UTC,sell
2025-08-26 20:00:00 UTC,sell
2025-08-27 00:00:00 UTC,sell
2025-08-27 04:00:00 UTC,sell
2025-08-27 08:00:00 UTC,sell
2025-08-27 12:00:00 UTC,sell
2025-08-27 16:00:00 UTC,sell
2025-08-27 20:00:00 UTC,sell
2025-08-28 00:00:00 UTC,sell
2025-08-28 04:00:00 UTC,sell
2025-08-28 20:00:00 UTC,sell
2025-08-29 00:00:00 UTC,sell
2025-08-29 04:00:00 UTC,sell
2025-08-29 08:00:00 UTC,sell
2025-08-29 12:00:00 UTC,sell
2025-08-29 16:00:00 UTC,sell
2025-08-29 20:00:00 UTC,sell
2025-08-30 00:00:00 UTC,sell
2025-08-30 04:00:00 UTC,sell
2025-08-30 08:00:00 UTC,sell
2025-08-30 12:00:00 UTC,sell
2025-08-30 16:00:00 UTC,sell
2025-08-30 20:00:00 UTC,sell
2025-08-31 00:00:00 UTC,sell
2025-08-31 04:00:00 UTC,sell
2025-08-31 08:00:00 UTC,sell
2025-08-31 12:00:00 UTC,sell
2025-08-31 16:00:00 UTC,sell
2025-08-31 20:00:00 UTC,sell
2025-09-01 00:00:00 UTC,sell
2025-09-01 04:00:00 UTC,sell
2025-09-01 08:00:00 UTC,sell
2025-09-01 12:00:00 UTC,sell
2025-09-01 16:00:00 UTC,sell
2025-09-01 20:00:00 UTC,sell
2025-09-02 00:00:00 UTC,sell
2025-09-02 12:00:00 UTC,sell
2025-09-02 16:00:00 UTC,sell
2025-09-02 20:00:00 UTC,sell
2025-09-03 00:00:00 UTC,sell
2025-09-03 04:00:00 UTC,sell
2025-09-03 08:00:00 UTC,sell
2025-09-03 12:00:00 UTC,sell
2025-09-04 08:00:00 UTC,sell
2025-09-04 12:00:00 UTC,sell
2025-09-04 16:00:00 UTC,sell
2025-09-04 20:00:00 UTC,sell
2025-09-06 00:00:00 UTC,sell
2025-09-06 04:00:00 UTC,sell
2025-09-06 08:00:00 UTC,sell
2025-09-06 16:00:00 UTC,sell
2025-09-06 20:00:00 UTC,sell
2025-09-07 00:00:00 UTC,sell
2025-09-07 04:00:00 UTC,sell
2025-09-07 08:00:00 UTC,sell
2025-09-08 00:00:00 UTC,sell
2025-09-08 04:00:00 UTC,sell
2025-09-09 16:00:00 UTC,sell
2025-09-09 20:00:00 UTC,sell
2025-09-10 00:00:00 UTC,sell
2025-09-10 04:00:00 UTC,sell
2025-09-15 16:00:00 UTC,sell
2025-09-15 20:00:00 UTC,buy
2025-09-17 20:00:00 UTC,sell
2025-09-18 00:00:00 UTC,buy
2025-09-19 16:00:00 UTC,sell
2025-09-19 20:00:00 UTC,sell
2025-09-20 00:00:00 UTC,sell
2025-09-20 04:00:00 UTC,sell
2025-09-20 08:00:00 UTC,sell
2025-09-20 12:00:00 UTC,sell
2025-09-20 16:00:00 UTC,sell
2025-09-20 20:00:00 UTC,sell
2025-09-21 00:00:00 UTC,sell
2025-09-21 04:00:00 UTC,sell
2025-09-21 08:00:00 UTC,sell
2025-09-21 12:00:00 UTC,sell
2025-09-21 16:00:00 UTC,sell
2025-09-21 20:00:00 UTC,sell
2025-09-22 00:00:00 UTC,sell
2025-09-22 04:00:00 UTC,sell
