# section: strategy
name,Daytrade Edge 10m Div v1
market,KRW-BTC
timeframe,10m
stop_loss_pct,0.8
take_profit_pct,2.5
indicators,"rsi14(rsi, signal_period=9, signal_type=EMA, period=14), bb20(bollinger_bands, period=20, multiplier=2.0)"

# section: disclaimer
notice,Backtesting results are based on historical data and do not guarantee that the same or similar investment performance will be achieved in the future or in actual trading.

# section: performance
metric,value
period,2026-06-30 ~ 2026-07-29 (UTC)
initial_capital,1000000 KRW
trading_bars,4149
warmup_bars,25
benchmark_pct,+1.9312
total_return_pct,+0.9882
cagr_pct,+13.1756
mdd_pct,-1.5890
sharpe_portfolio,1.6388
sharpe_trade,14.0391
trades,9
win_rate_before_fees_pct,55.56
profit_factor_before_fees,2.838367
sl_count,1
tp_count,0
sell_count,8
final_bar_count,0
total_fee,9084.9325

# section: trades
entry_dt,entry_price,exit_dt,exit_price,qty,pnl_pct,pnl_abs,exit_reason
2026-07-02 06:50:00 UTC,91400000.00000000,2026-07-02 09:40:00 UTC,92194000.00000000,0.01093545,+0.8687,7678.9058,sell
2026-07-08 09:00:00 UTC,92675000.00000000,2026-07-08 11:50:00 UTC,93110000.00000000,0.01086782,+0.4694,3717.9627,sell
2026-07-12 00:00:00 UTC,95266000.00000000,2026-07-12 08:10:00 UTC,95586000.00000000,0.01061125,+0.3359,2383.0109,sell
2026-07-16 00:20:00 UTC,95013000.00000000,2026-07-16 05:20:00 UTC,95008000.00000000,0.01066457,-0.0053,-1066.5690,sell
2026-07-17 02:40:00 UTC,93411000.00000000,2026-07-17 06:00:00 UTC,92664000.00000000,0.01083606,-0.7997,-9102.6968,SL
2026-07-19 12:50:00 UTC,94772000.00000000,2026-07-19 15:10:00 UTC,94980000.00000000,0.01058444,+0.2195,1197.3542,sell
2026-07-20 05:50:00 UTC,94105000.00000000,2026-07-20 11:40:00 UTC,95068000.00000000,0.01067218,+1.0233,9267.8652,sell
2026-07-23 07:50:00 UTC,95368000.00000000,2026-07-23 20:10:00 UTC,95261000.00000000,0.01062797,-0.1122,-2150.1924,sell
2026-07-24 13:40:00 UTC,94049000.00000000,2026-07-25 05:10:00 UTC,93953000.00000000,0.01075418,-0.1021,-2043.3050,sell

# section: signals
timestamp,type
2026-06-30 19:50:00 UTC,sell
2026-07-01 01:40:00 UTC,sell
2026-07-01 01:50:00 UTC,sell
2026-07-01 02:00:00 UTC,sell
2026-07-01 02:30:00 UTC,sell
2026-07-01 02:40:00 UTC,sell
2026-07-01 04:50:00 UTC,sell
2026-07-01 09:10:00 UTC,sell
2026-07-01 13:50:00 UTC,sell
2026-07-01 14:00:00 UTC,sell
2026-07-01 14:10:00 UTC,sell
2026-07-01 14:20:00 UTC,sell
2026-07-01 21:20:00 UTC,sell
2026-07-01 21:30:00 UTC,sell
2026-07-01 21:40:00 UTC,sell
2026-07-01 21:50:00 UTC,sell
2026-07-01 22:00:00 UTC,sell
2026-07-02 03:40:00 UTC,sell
2026-07-02 04:00:00 UTC,sell
2026-07-02 06:50:00 UTC,buy
2026-07-02 09:40:00 UTC,sell
2026-07-02 09:50:00 UTC,sell
2026-07-02 10:00:00 UTC,sell
2026-07-02 13:00:00 UTC,sell
2026-07-02 13:10:00 UTC,sell
2026-07-02 13:20:00 UTC,sell
2026-07-02 13:40:00 UTC,sell
2026-07-02 13:50:00 UTC,sell
2026-07-03 01:40:00 UTC,sell
2026-07-03 05:30:00 UTC,sell
2026-07-03 05:40:00 UTC,sell
2026-07-03 05:50:00 UTC,sell
2026-07-03 06:00:00 UTC,sell
2026-07-03 10:40:00 UTC,sell
2026-07-03 10:50:00 UTC,sell
2026-07-03 11:00:00 UTC,sell
