# section: strategy
name,Daytrade Edge 15m Div Short Inv v1
market,KRW-BTC
timeframe,15m
stop_loss_pct,2.5
take_profit_pct,0.8
indicators,"rsi14(rsi, signal_period=9, signal_type=EMA, period=14), bb20(bollinger_bands, period=20, multiplier=2.0)"

# section: disclaimer
notice,Backtesting results are based on historical data and do not guarantee that the same or similar investment performance will be achieved in the future or in actual trading.

# section: performance
metric,value
period,2026-06-30 ~ 2026-07-29 (UTC)
initial_capital,1000000 KRW
trading_bars,2767
warmup_bars,25
benchmark_pct,+1.8538
total_return_pct,-3.5041
cagr_pct,-36.1703
mdd_pct,-3.9892
sharpe_portfolio,-5.1857
sharpe_trade,-11.7465
trades,10
win_rate_before_fees_pct,30.00
profit_factor_before_fees,0.483768
sl_count,0
tp_count,3
sell_count,7
final_bar_count,0
total_fee,9839.7930

# section: trades
entry_dt,entry_price,exit_dt,exit_price,qty,pnl_pct,pnl_abs,exit_reason
2026-07-01 02:30:00 UTC,89907000.00000000,2026-07-01 06:30:00 UTC,89508000.00000000,0.01111704,-0.4438,-5432.9808,sell
2026-07-04 16:00:00 UTC,94940000.00000000,2026-07-04 21:15:00 UTC,95700000.00000000,0.01047050,+0.8005,6959.5319,TP
2026-07-05 23:15:00 UTC,96084000.00000000,2026-07-06 03:30:00 UTC,95231000.00000000,0.01041823,-0.8878,-9883.3320,sell
2026-07-06 22:00:00 UTC,96745000.00000000,2026-07-07 02:00:00 UTC,95769000.00000000,0.01024494,-1.0088,-10985.2086,sell
2026-07-11 15:15:00 UTC,96120000.00000000,2026-07-11 23:00:00 UTC,95679000.00000000,0.01019733,-0.4588,-5474.9414,sell
2026-07-14 13:30:00 UTC,94316000.00000000,2026-07-14 15:30:00 UTC,95071000.00000000,0.01033436,+0.8005,6823.8451,TP
2026-07-14 22:30:00 UTC,95444000.00000000,2026-07-15 13:00:00 UTC,96208000.00000000,0.01028368,+0.8005,6871.2876,TP
2026-07-16 15:30:00 UTC,95200000.00000000,2026-07-16 23:15:00 UTC,94122000.00000000,0.01038218,-1.1324,-12174.7776,sell
2026-07-21 14:00:00 UTC,97599000.00000000,2026-07-21 18:00:00 UTC,96642000.00000000,0.01000230,-0.9805,-10543.6295,sell
2026-07-25 19:15:00 UTC,94247000.00000000,2026-07-26 05:45:00 UTC,94224000.00000000,0.01024623,-0.0244,-1201.2219,sell

# section: signals
timestamp,type
2026-06-30 00:30:00 UTC,sell
2026-06-30 00:45:00 UTC,sell
2026-06-30 01:00:00 UTC,sell
2026-06-30 05:15:00 UTC,sell
2026-06-30 08:45:00 UTC,sell
2026-06-30 12:15:00 UTC,sell
2026-06-30 12:30:00 UTC,sell
2026-06-30 12:45:00 UTC,sell
2026-06-30 13:00:00 UTC,sell
2026-06-30 13:15:00 UTC,sell
2026-06-30 13:30:00 UTC,sell
2026-07-01 00:30:00 UTC,sell
2026-07-01 01:15:00 UTC,sell
2026-07-01 02:30:00 UTC,buy
2026-07-01 06:30:00 UTC,sell
2026-07-01 06:45:00 UTC,sell
2026-07-01 12:15:00 UTC,sell
2026-07-03 01:00:00 UTC,sell
2026-07-04 16:00:00 UTC,buy
2026-07-04 23:15:00 UTC,sell
2026-07-05 00:15:00 UTC,sell
2026-07-05 01:45:00 UTC,sell
2026-07-05 02:15:00 UTC,sell
2026-07-05 15:45:00 UTC,sell
2026-07-05 16:30:00 UTC,sell
2026-07-05 16:45:00 UTC,sell
2026-07-05 17:00:00 UTC,sell
2026-07-05 23:15:00 UTC,buy
2026-07-06 03:30:00 UTC,sell
2026-07-06 03:45:00 UTC,sell
2026-07-06 09:30:00 UTC,sell
2026-07-06 09:45:00 UTC,sell
2026-07-06 10:00:00 UTC,sell
2026-07-06 12:00:00 UTC,sell
2026-07-06 12:15:00 UTC,sell
2026-07-06 12:30:00 UTC,sell
2026-07-06 12:45:00 UTC,sell
2026-07-06 13:00:00 UTC,sell
2026-07-06 13:30:00 UTC,sell
2026-07-06 22:00:00 UTC,buy
2026-07-07 02:00:00 UTC,sell
2026-07-07 02:30:00 UTC,sell
2026-07-07 03:00:00 UTC,sell
2026-07-07 03:15:00 UTC,sell
2026-07-07 03:45:00 UTC,sell
2026-07-07 21:45:00 UTC,sell
2026-07-08 01:45:00 UTC,sell
2026-07-08 02:00:00 UTC,sell
2026-07-08 02:15:00 UTC,sell
2026-07-08 02:30:00 UTC,sell
2026-07-08 06:45:00 UTC,sell
2026-07-08 08:30:00 UTC,sell
2026-07-08 08:45:00 UTC,sell
2026-07-08 09:00:00 UTC,sell
2026-07-08 09:15:00 UTC,sell
2026-07-08 09:30:00 UTC,sell
2026-07-08 15:15:00 UTC,sell
2026-07-08 21:15:00 UTC,sell
2026-07-09 02:00:00 UTC,sell
2026-07-09 02:45:00 UTC,sell
2026-07-09 03:00:00 UTC,sell
2026-07-09 11:45:00 UTC,sell
2026-07-10 00:30:00 UTC,sell
2026-07-10 00:45:00 UTC,sell
2026-07-10 15:00:00 UTC,sell
2026-07-10 20:30:00 UTC,sell
2026-07-11 11:00:00 UTC,sell
2026-07-11 15:15:00 UTC,buy
2026-07-11 23:00:00 UTC,sell
2026-07-11 23:15:00 UTC,sell
2026-07-11 23:30:00 UTC,sell
2026-07-11 23:45:00 UTC,sell
2026-07-12 00:00:00 UTC,sell
2026-07-12 00:15:00 UTC,sell
2026-07-12 06:15:00 UTC,sell
2026-07-12 06:30:00 UTC,sell
2026-07-12 21:45:00 UTC,sell
2026-07-12 22:00:00 UTC,sell
2026-07-12 22:15:00 UTC,sell
2026-07-12 22:30:00 UTC,sell
2026-07-13 02:00:00 UTC,sell
2026-07-13 02:15:00 UTC,sell
2026-07-13 03:15:00 UTC,sell
2026-07-13 03:45:00 UTC,sell
2026-07-13 11:00:00 UTC,sell
2026-07-13 12:30:00 UTC,sell
2026-07-13 12:45:00 UTC,sell
2026-07-13 13:00:00 UTC,sell
2026-07-13 13:45:00 UTC,sell
2026-07-13 18:00:00 UTC,sell
2026-07-14 13:30:00 UTC,buy
2026-07-14 22:30:00 UTC,buy
2026-07-15 23:45:00 UTC,sell
2026-07-16 00:30:00 UTC,sell
2026-07-16 00:45:00 UTC,sell
2026-07-16 07:45:00 UTC,sell
2026-07-16 08:00:00 UTC,sell
2026-07-16 08:15:00 UTC,sell
2026-07-16 12:45:00 UTC,sell
2026-07-16 15:30:00 UTC,buy
2026-07-16 23:15:00 UTC,sell
2026-07-16 23:30:00 UTC,sell
2026-07-17 02:00:00 UTC,sell
2026-07-17 02:45:00 UTC,sell
2026-07-17 03:00:00 UTC,sell
2026-07-17 05:45:00 UTC,sell
2026-07-17 06:00:00 UTC,sell
2026-07-17 06:15:00 UTC,sell
2026-07-17 13:45:00 UTC,sell
2026-07-17 22:30:00 UTC,sell
2026-07-17 22:45:00 UTC,sell
2026-07-19 03:15:00 UTC,sell
2026-07-19 03:30:00 UTC,sell
2026-07-19 03:45:00 UTC,sell
2026-07-19 04:15:00 UTC,sell
2026-07-19 09:30:00 UTC,sell
2026-07-19 09:45:00 UTC,sell
2026-07-19 10:00:00 UTC,sell
2026-07-19 12:15:00 UTC,sell
2026-07-19 12:30:00 UTC,sell
2026-07-20 05:00:00 UTC,sell
2026-07-20 05:15:00 UTC,sell
2026-07-20 05:30:00 UTC,sell
2026-07-20 05:45:00 UTC,sell
2026-07-20 06:00:00 UTC,sell
2026-07-20 06:45:00 UTC,sell
2026-07-21 14:00:00 UTC,buy
2026-07-21 18:00:00 UTC,sell
2026-07-22 05:45:00 UTC,sell
2026-07-22 06:00:00 UTC,sell
2026-07-22 06:15:00 UTC,sell
2026-07-22 06:30:00 UTC,sell
2026-07-22 13:00:00 UTC,sell
2026-07-22 13:15:00 UTC,sell
2026-07-22 13:30:00 UTC,sell
2026-07-22 14:30:00 UTC,sell
2026-07-23 01:45:00 UTC,sell
2026-07-23 02:00:00 UTC,sell
2026-07-23 02:15:00 UTC,sell
2026-07-23 07:15:00 UTC,sell
2026-07-23 07:30:00 UTC,sell
2026-07-23 07:45:00 UTC,sell
2026-07-23 12:45:00 UTC,sell
2026-07-23 13:00:00 UTC,sell
2026-07-23 13:15:00 UTC,sell
2026-07-23 13:30:00 UTC,sell
2026-07-24 00:30:00 UTC,sell
2026-07-24 00:45:00 UTC,sell
2026-07-24 01:00:00 UTC,sell
2026-07-24 09:15:00 UTC,sell
2026-07-24 09:30:00 UTC,sell
2026-07-24 13:15:00 UTC,sell
2026-07-24 13:30:00 UTC,sell
2026-07-24 13:45:00 UTC,sell
2026-07-24 14:00:00 UTC,sell
2026-07-24 14:15:00 UTC,sell
2026-07-24 14:30:00 UTC,sell
2026-07-24 14:45:00 UTC,sell
2026-07-25 01:00:00 UTC,sell
2026-07-25 03:00:00 UTC,sell
2026-07-25 06:30:00 UTC,sell
2026-07-25 06:45:00 UTC,sell
2026-07-25 09:00:00 UTC,sell
2026-07-25 19:15:00 UTC,buy
2026-07-26 05:45:00 UTC,sell
2026-07-26 06:00:00 UTC,sell
2026-07-26 06:15:00 UTC,sell
2026-07-26 06:30:00 UTC,sell
2026-07-26 06:45:00 UTC,sell
2026-07-27 12:30:00 UTC,sell
2026-07-27 14:45:00 UTC,sell
2026-07-27 22:15:00 UTC,sell
2026-07-27 22:30:00 UTC,sell
2026-07-27 22:45:00 UTC,sell
2026-07-27 23:00:00 UTC,sell
2026-07-27 23:15:00 UTC,sell
2026-07-27 23:45:00 UTC,sell
2026-07-28 10:00:00 UTC,sell
2026-07-28 13:45:00 UTC,sell
2026-07-28 14:00:00 UTC,sell
2026-07-28 23:15:00 UTC,sell
2026-07-28 23:30:00 UTC,sell
