# section: strategy
name,KRW-BTC 1h EMA ADX23 OBV m5-v2
market,KRW-BTC
timeframe,1h
stop_loss_pct,2.5
take_profit_pct,3.5
indicators,"ma_short(moving_average, type=EMA, period=5), ma_long(moving_average, type=EMA, period=20), adx14(adx, period=14), rsi14(rsi, signal_period=9, signal_type=EMA, period=14), obv(obv, signal_period=10, signal_type=SMA)"

# section: disclaimer
notice,Backtesting results are based on historical data and do not guarantee that the same or similar investment performance will be achieved in the future or in actual trading.

# section: performance
metric,value
period,2026-01-26 ~ 2026-07-26 (UTC)
initial_capital,1000000 KRW
trading_bars,4338
warmup_bars,29
benchmark_pct,-26.3659
total_return_pct,+19.7390
cagr_pct,+43.8029
mdd_pct,-4.2632
sharpe_portfolio,3.2392
sharpe_trade,12.7030
trades,32
win_rate_before_fees_pct,50.00
profit_factor_before_fees,3.120393
sl_count,0
tp_count,3
sell_count,28
final_bar_count,1
total_fee,35087.3406

# section: trades
entry_dt,entry_price,exit_dt,exit_price,qty,pnl_pct,pnl_abs,exit_reason
2026-01-26 23:00:00 UTC,129115000.00000000,2026-01-27 09:00:00 UTC,128916000.00000000,0.00774116,-0.1541,-2539.2205,sell
2026-01-30 19:00:00 UTC,123848000.00000000,2026-01-31 09:00:00 UTC,123203000.00000000,0.00804988,-0.5208,-6186.5381,sell
2026-02-02 12:00:00 UTC,114950000.00000000,2026-02-03 11:00:00 UTC,115411000.00000000,0.00861921,+0.4010,2980.6909,sell
2026-02-10 18:00:00 UTC,103481000.00000000,2026-02-10 19:00:00 UTC,102340000.00000000,0.00960329,-1.1026,-11945.6333,sell
2026-02-19 21:00:00 UTC,99020000.00000000,2026-02-20 10:00:00 UTC,100441000.00000000,0.00991535,+1.4351,13100.8495,sell
2026-02-24 19:00:00 UTC,94435000.00000000,2026-02-25 01:00:00 UTC,93906000.00000000,0.01053542,-0.5602,-6565.3629,sell
2026-02-25 02:00:00 UTC,96258000.00000000,2026-02-25 17:00:00 UTC,98331000.00000000,0.01026772,+2.1536,20285.9909,sell
